Semana|Articulo|Unidades|Venta_Pesos|Num_Tiendas|Cant_Tickets
20200624|Art_03|189641|4215736.0001|1.09|4.45
20200101|Art_03|130370|3016695.7005|1.07|4.72
20201216|Art_03|138843|3076804.1597|1.09|4.64
20210714|Art_03|280163|6247681.9976|1.16|4.86
20190703|Art_03|194437|4694981.7|1|5.63
20200325|Art_03|129435|3019447.0001|1.07|4.71
20191127|Art_03|120424|2829071.6981|1.07|4.64
20200311|Art_03|101939|2760500|1.06|5.05
20210519|Art_03|176429|4849905.5|1.16|5.01
20190403|Art_03|113731|3083126.6|1|5.44
20190529|Art_03|156700|4214049.2|1|5.5
20210317|Art_03|137231|3699286|1.17|5
20190213|Art_03|104946|2442374.4998|1|5
20200708|Art_03|218062|4806026.4984|1.09|3.12
20200930|Art_03|121526|3326816.3097|1.08|4.57
20190306|Art_03|112183|2985523|1|5.5
20190612|Art_03|185375|4921766.9|1|5.54
20210512|Art_03|179629|4929051|1.16|5.07
20191218|Art_03|145878|3408854.0995|1.07|5.33
20200812|Art_03|141664|3795104|1.09|4.45
20210630|Art_03|252684|5626249.5001|1.16|4.9
20201104|Art_03|104251|2817515.95|1.09|3.35
20201118|Art_03|130164|2990303.9895|1.09|4.62
20200506|Art_03|126646|3409449.5|1.05|2.72
20201028|Art_03|109718|3011780.7998|1.09|4.46
20200415|Art_03|122006|2784408.5001|1.06|4.09
20200122|Art_03|92176|2465054.55|1.11|5.35
20191106|Art_03|116806|2759707.3|1|4.99
20190424|Art_03|168848|4122482.2001|1|5.37
20201021|Art_03|125545|3441803.4801|1.09|4.7
20200916|Art_03|114069|3111742.3004|1.08|4.47
20200219|Art_03|152029|3504517.5003|1.07|5.28
20190731|Art_03|151504|4077652.6|1|5.45
20210217|Art_03|122971|2764408.9995|1.17|4.5
20210224|Art_03|99084|2709603|1.17|4.53
20200226|Art_03|104569|2831820.5|1.06|5.06
20200129|Art_03|126437|2918873.7|1.11|5.28
20200115|Art_03|93727|2538524.5|1.11|5.31
20210414|Art_03|261445|5851812.4991|1.17|5.08
20210623|Art_03|306663|6866712.4998|1.16|4.95
20200205|Art_03|130449|2996150.4001|1.07|5.11
20190206|Art_03|119948|2795386.25|1|5.23
20190313|Art_03|107335|2857656|1|5.25
20200408|Art_03|123012|2828716.4997|1.09|3.79
20190904|Art_03|169054|4080595.2501|1|5.57
20200513|Art_03|104297|2806368|1.07|3.19
20190717|Art_03|170148|4569344.3|1|5.57
20191009|Art_03|114371|3071160.8|1|5.33
20210106|Art_03|165318|3607390.8106|1.17|4.79
20190417|Art_03|130650|3499962.8004|1|5.6
20190227|Art_03|92030|2448876.5|1|5.12
20190626|Art_03|197441|4772147.7998|1|5.49
20190619|Art_03|208168|5041253.6|1|5.67
20210324|Art_03|175426|3992640.75|1.17|4.47
20200603|Art_03|116739|3135262.5|1.09|3.43
20200722|Art_03|158740|4308859|1.09|4.56
20191204|Art_03|131516|3090129.2007|1.07|4.66
20190710|Art_03|186972|4522808.9|1|5.5
20200212|Art_03|133867|3072629.0004|1.08|4.57
20200108|Art_03|94084|2553155.9|1.11|5.19
20190116|Art_03|74138|1979456|1|4.98
20210113|Art_03|83036|2270863.48|1.17|4.29
20200805|Art_03|150436|4086732.5|1.09|2.77
20210505|Art_03|185495|5075802|1.16|4.4
20190515|Art_03|169964|4140669.2999|1|5.54
20190828|Art_03|161614|3901022.0499|1|5.38
20190320|Art_03|100396|2748959|1|5.26
20191120|Art_03|127447|2985488.1997|1.07|5.49
20190123|Art_03|80350|2122021|1|5.04
20200401|Art_03|134035|3090070.4999|1.06|3.96
20200923|Art_03|115043|3146376.29|1.08|4.45
20191016|Art_03|104952|2819164.7|1|5.33
20191030|Art_03|95868|2549024.85|1|5.12
20201014|Art_03|123342|3374539.6098|1.09|4.58
20190724|Art_03|148266|3992283.4|1|5.38
20210602|Art_03|199607|5480133|1.16|5.23
20190327|Art_03|100888|2752253|1|5.18
20201125|Art_03|119705|2741908.6608|1.09|4.46
20210127|Art_03|90664|2442843.9901|1.17|4.25
20190501|Art_03|166772|4058537.5001|1|5.51
20190807|Art_03|166974|4487298.4|1|5.64
20190918|Art_03|135256|3372225.5|1|5.51
20201111|Art_03|116231|2700322.29|1.09|4.47
20191002|Art_03|108128|2901451.1|1|5.42
20191023|Art_03|100914|2706817.65|1|5.26
20190410|Art_03|123999|3347247.9|1|5.37
20201111|Art_04|30016|766033.56|1.09|4.47
20201028|Art_04|35409|910418|1.09|4.46
20190626|Art_04|102788|2257566.0412|1|5.49
20190220|Art_04|42952|1047756.3513|1|5.34
20200909|Art_04|42567|1089615.2599|1.08|4.38
20200318|Art_04|62371|1456269.7434|1.06|5.26
20190911|Art_04|48171|1169746.7533|1|5.27
20200304|Art_04|53054|1243459.1193|1.06|4.37
20190508|Art_04|81901|1821093.981|1|5.55
20200708|Art_04|62119|1432975.1674|1.09|3.12
20210217|Art_04|23691|628350.9991|1.17|4.5
20200115|Art_04|33828|825521.419999999|1.11|5.31
20200311|Art_04|48471|1134252.408|1.06|5.05
20190109|Art_04|31119|758731.02|1|4.93
20190424|Art_04|79974|1795124.4364|1|5.37
20201216|Art_04|27448|701467.75|1.09|4.64
20190807|Art_04|65418|1587880.31|1|5.64
20191030|Art_04|36318|887111.31|1|5.12
20200729|Art_04|42378|1087473.27|1.09|4.34
20210127|Art_04|35450|840571.8368|1.17|4.25
20200325|Art_04|37720|968558.9201|1.07|4.71
20191023|Art_04|40019|978021.83|1|5.26
20190123|Art_04|30307|743698.38|1|5.04
20200701|Art_04|55477|1277495.4421|1.09|3.88
20210421|Art_04|48291|1278052.6877|1.17|5.08
20210303|Art_04|49960|1190775.7059|1.17|4.31
20210512|Art_04|79626|1845591.7803|1.16|5.07
20190327|Art_04|40271|986785.629899999|1|5.18
20210113|Art_04|29445|698085.0668|1.17|4.29
20200226|Art_04|46644|1097279.7413|1.06|5.06
20190515|Art_04|84848|1888774.9003|1|5.54
20200513|Art_04|46146|1069821.5658|1.07|3.19
20210505|Art_04|82677|1918716.7855|1.16|4.4
20210106|Art_04|28999|734894.121|1.17|4.79
20191120|Art_04|38443|937412.9009|1.07|5.49
20191009|Art_04|64157|1431445.3072|1|5.33
20210714|Art_04|73211|1693817.2102|1.16|4.86
20201202|Art_04|28690|733586.95|1.09|3.68
20200805|Art_04|48663|1249423.67|1.09|2.77
20200722|Art_04|50503|1294495.36|1.09|4.56
20190710|Art_04|94738|2089537.0451|1|5.5
20200812|Art_04|45455|1165765.36|1.09|4.45
20210120|Art_04|33006|785315.1032|1.17|4.5
20190320|Art_04|49725|1134160.8361|1|5.26
20210224|Art_04|36835|882580.6822|1.17|4.53
20201209|Art_04|21775|558428.16|1.09|3.84
20201223|Art_04|29757|761843.07|1.09|4.74
20200520|Art_04|47552|1219193.4607|1.09|1
20200101|Art_04|34832|848958.73|1.07|4.72
20200205|Art_04|29233|832148.26|1.07|5.11
20190605|Art_04|59704|1456769.85|1|5.61
20210324|Art_04|36682|979847.0494|1.17|4.47
20210623|Art_04|79010|1841923.1136|1.16|4.95
20210407|Art_04|41645|1115649.68|1.17|4.99
20200122|Art_04|31450|763585.38|1.11|5.35
20200422|Art_04|40916|1041674.6611|1.09|4.25
20190227|Art_04|46350|1060100.793|1|5.12
20190619|Art_04|107863|2379757.3386|1|5.67
20190918|Art_04|74502|1668276.0576|1|5.51
20201118|Art_04|32081|821442.93|1.09|4.62
20210428|Art_04|75076|1749382.7452|1.17|5
20191002|Art_04|64538|1438472.2677|1|5.42
20191113|Art_04|37006|903942.49|1.07|5.26
20200401|Art_04|39466|1015463.43|1.06|3.96
20201014|Art_04|41712|1072738.8301|1.09|4.58
20200212|Art_04|31053|811512.57|1.08|4.57
20210602|Art_04|59727|1596021.88|1.16|5.23
20190116|Art_04|27669|673576.89|1|4.98
20210616|Art_04|57125|1514006.9588|1.16|5.02
20190206|Art_04|35341|866132.65|1|5.23
20210310|Art_04|45600|1083974.0612|1.17|4.8
20190417|Art_04|57643|1409000.7721|1|5.6
20200624|Art_04|59260|1364066.9041|1.09|4.45
20210210|Art_04|29071|779092.35|1.17|4.58
20200506|Art_04|56210|1299988.4979|1.05|2.72
20190814|Art_04|61470|1492622.47|1|5.49
20190501|Art_04|82064|1824240.6025|1|5.51
20201230|Art_04|27164|694575.29|1.09|4.37
20190904|Art_04|55322|1349054.34|1|5.57
20190403|Art_04|45212|1108467.53|1|5.44
20210414|Art_04|52432|1398999.26|1.17|5.08
20210519|Art_04|73445|1705642.5087|1.16|5.01
20200930|Art_04|59010|1344599.4653|1.08|4.57
20200916|Art_04|54441|1247147.8494|1.08|4.47
20190828|Art_04|54896|1337263.88|1|5.38
20190612|Art_04|80035|1935256.2349|1|5.54
20190703|Art_04|94875|2086789.0259|1|5.63
20190925|Art_04|67797|1514921.5253|1|5.27
20200715|Art_04|54672|1403041.3295|1.09|4.54
20200617|Art_04|55934|1290835.4637|1.09|4.54
20191016|Art_04|42194|1029866.47|1|5.33
20200902|Art_04|49468|1273012.18|1.09|3.49
20190313|Art_04|56904|1299791.1904|1|5.25
20191204|Art_04|40106|981631.76|1.07|4.66
20191127|Art_04|36704|899581.15|1.07|4.64
20210331|Art_04|47076|1260077.97|1.17|5.15
20190529|Art_04|67783|1656352.46|1|5.5
20200527|Art_04|44487|1143514.35|1.09|1.39
20201104|Art_04|30765|787483.57|1.09|3.35
20200923|Art_04|55026|1256391.8349|1.08|4.45
20210609|Art_04|58778|1565895.39|1.16|5.03
20190522|Art_04|74269|1814177.8503|1|5.61
20201021|Art_04|40529|1041825.71|1.09|4.7
20190306|Art_04|57215|1308718.8522|1|5.5
20190717|Art_04|69052|1674552.4507|1|5.57
20201125|Art_04|27745|709820.44|1.09|4.46
20190213|Art_04|29838|731332.9|1|5
20200826|Art_04|47509|1226067.37|1.09|4.54
20210630|Art_04|68317|1582088.2396|1.16|4.9
20191106|Art_04|36135|880856.45|1|4.99
20190410|Art_04|49825|1218539.11|1|5.37
20191225|Art_04|37386|913184.3|1.07|5.54
20200108|Art_04|34025|829151.38|1.11|5.19
20210317|Art_04|55953|1326473.1999|1.17|5
20210203|Art_04|26129|699489.4802|1.17|3.94
20200219|Art_04|36919|944407.7712|1.07|5.28
20200408|Art_04|35375|909347.9|1.09|3.79
20191218|Art_04|40419|988538.13|1.07|5.33
20200610|Art_04|48505|1234560.9598|1.09|4.46
20190724|Art_04|59107|1437316.2|1|5.38
20200415|Art_04|35268|905602.66|1.06|4.09
20190130|Art_04|28406|697972.58|1|4.97
20201007|Art_04|55542|1271270.068|1.09|4.68
20210526|Art_04|54431|1451721.3899|1.16|4.76
20200603|Art_04|38864|996160.11|1.09|3.43
20200819|Art_04|50841|1312286.41|1.09|4.64
20191211|Art_04|39527|966062.7|1.07|5.56
20190821|Art_04|65760|1597795.37|1|5.67
20190731|Art_04|58050|1409872.67|1|5.45
20200429|Art_04|55059|1276677.4405|1.09|4.13
20210707|Art_04|72954|1684236.4454|1.16|3.58
20200129|Art_04|30902|753471.74|1.11|5.28
20210505|Art_05|33154|699245.6663|1.16|4.4
20201104|Art_05|18921|371095.5201|1.09|3.35
20190206|Art_05|7977|152429.94|1|5.23
20190403|Art_05|9975|193804.64|1|5.44
20200108|Art_05|21298|423370.68|1.11|5.19
20210707|Art_05|41401|873728.9787|1.16|3.58
20210414|Art_05|36115|817106.01|1.17|5.08
20210623|Art_05|45819|967610.6572|1.16|4.95
20200930|Art_05|19573|440936.22|1.08|4.57
20210602|Art_05|44064|945464.027|1.16|5.23
20190227|Art_05|8348|153571.24|1|5.12
20200610|Art_05|18995|421614.2809|1.09|4.46
20190904|Art_05|30883|608572.3|1|5.57
20190417|Art_05|11513|221763.1331|1|5.6
20190522|Art_05|13749|265597.6804|1|5.61
